회사명|종목코드|업종|주요제품
머큐리|100590|통신 및 방송 장비 제조업|AP 단말기, 광섬유 및 광케이블, 위성통신 전송장비
전진바이오팜|110020|기타 화학제품 제조업|방충방향제, 유해동물피해감소제, 기생충피해감소제
뉴트리|270870|기타 식품 제조업|에버콜라겐, 지노마스터 등
비투엔|307870|소프트웨어 개발 및 공급업|기업인수합병
이노메트리|302430|특수 목적용 기계 제조업|엑스레이검사 장비
대유에이피|290120|자동차 신품 부품 제조업|자동차 스티어링휠
에코캡|128540|자동차 신품 부품 제조업|자동차 부품(전선, 케이블, 벌브소켓, LED 등)
원바이오젠|307280|의료용품 및 기타 의약 관련제품 제조업|창상피복제, 습윤드레싱제
베스파|299910|소프트웨어 개발 및 공급업|모바일게임
윙입푸드|900340|기타 금융업|육가공 제품
남화산업|111710|스포츠 서비스업|골프장 서비스
엠아이텍|179290|의료용 기기 제조업|비혈관 스텐트 및 체외충격파 쇄석기
티로보틱스|117730|특수 목적용 기계 제조업|중대형 시스템, 중대형 로봇
네오펙트|290660|의료용 기기 제조업|라파엘스마트글러브 외
티앤알바이오팹|246710|기초 의약물질 및 생물학적 제제 제조업|생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제
디알젬|263690|의료용 기기 제조업|진단용 엑스선 촬영장치 및 부분품, X-ray 제너레이터 외
